Plot,Eelgrass,SDI,Temp
1,756,4.18,15.152
2,486,1.73,13.774
3,588,3.21,16.225
4,742,4.73,11.387
5,586,3.35,9.021
6,976,5.04,16.545
7,711,4.48,11.946
8,33,1.30,11.324
9,433,1.54,10.741
10,427,2.84,7.743
11,748,3.32,9.717
12,769,4.11,11.767
13,599,4.53,13.046
14,48,-0.62,17.232
15,757,6.25,12.003
16,534,4.18,8.31
17,757,4.90,14.389
18,294,1.05,8.944
19,674,3.69,5.496
20,965,5.72,10.935
21,437,1.87,8.014
22,417,2.83,13.762
23,172,3.41,7.703
24,966,6.19,14.112
25,243,0.79,11.485
26,5,1.55,14.949
27,513,2.21,17.645
28,1019,4.51,13.429
29,130,2.42,12.42
30,353,3.18,12.299
31,674,4.37,16.004
32,463,2.58,9.568
33,428,2.46,10.594
34,441,2.05,15.658
35,1052,5.37,16.005
36,322,0.37,12.885
37,802,3.44,11.691
38,688,3.73,15.184
39,21,0.97,15.985
40,875,5.44,12.662
41,707,4.06,9.604
42,995,4.08,13.183
43,62,1.42,13.17
44,297,2.34,12.328
45,889,6.49,11.408
46,325,1.54,10.908
47,633,3.24,10.772
48,657,2.45,15.313
49,353,0.72,14.257
50,429,2.31,19.16
51,1053,5.78,12.261
52,725,3.87,9.063
53,497,2.67,15.535
54,777,4.68,14.801
55,681,3.96,18.124
56,714,5.07,19.255
57,751,3.09,3.619
58,436,2.16,12.818
59,468,2.91,15.88
60,698,4.50,11.257
61,615,2.26,9.547
62,576,3.68,15.486
63,55,0.65,14.607
64,793,4.09,15.517
65,441,1.45,7.001
66,1007,4.87,10.745
67,946,4.16,16.98
68,1024,4.51,10.07
69,463,2.32,10.535
70,628,3.02,11.316
71,828,4.40,14.714
72,830,4.34,12.738
73,852,3.98,7.94
74,781,5.62,14.732
75,787,3.48,10.031
76,906,4.71,14.251
77,917,5.38,11.907
78,925,5.01,8.318