Year,MEI,PDO,UPW,SST,SAL,NPGO,PNI,Clam
1970,-0.547583333,-0.3975,-17.16666667,8.794166667,31.43583333,0.061043154,0.123,0.063172948
1971,-1.417583333,-1.290833333,-7.75,8.520833333,31.03666667,0.381984271,-1.388,0.054328852
1972,0.867833333,-0.921666667,-15.41666667,8.524166667,30.74416667,-0.659303726,-1.382,0.027066981
1973,-0.46,-0.804166667,-18.83333333,8.7425,31.55166667,0.126585564,0.291,0.041908029
1974,-1.178416667,-0.336666667,-11,8.89,31.27416667,-0.009310217,-1.008,0.069696508
1975,-1.30325,-1.101666667,-14.16666667,8.7575,31.7425,0.798500537,-0.908,0.011981784
1976,-0.11175,0.008333333,-14.08333333,8.664166667,31.18583333,1.86321135,-0.014,0.087510255
1977,0.617833333,0.230833333,-14.75,8.976666667,31.29083333,1.249270341,0.436,0.100867147
1978,0.112833333,0.235833333,-15.25,9.180833333,31.13666667,0.504466636,0.609,0.10108
1979,0.518166667,0.335,-27.08333333,9.06,31.48666667,-0.737188575,0.792,0.119341219
1980,0.555,0.6025,-32.16666667,9.260833333,31.72833333,-0.749107276,0.288,0.143194772
1981,0.069416667,0.918333333,-39,9.420833333,31.725,-0.221840562,1.027,0.153238312
1982,1.098833333,0.114166667,-6.666666667,9.545,31.25416667,-0.686691381,-0.321,0.094039325
1983,1.610416667,1.648333333,-45.91666667,10.17166667,30.89666667,-0.092064694,0.312,0.215863547
1984,-0.131,0.8375,-22.25,9.330833333,31.02583333,0.620750037,0.472,0.149658721
1985,-0.388833333,0.449166667,-10.41666667,8.865833333,31.665,-0.393901047,0.513,0.135789619
1986,0.452916667,1.239166667,-41.66666667,9.218333333,31.42666667,-0.732847288,0.499,0.174523989
1987,1.6705,1.820833333,-29.5,9.560833333,31.42,0.429174729,1.071,0.244340328
1988,-0.48575,0.531666667,-15.66666667,9.2325,31.64416667,1.323636763,0.263,0.137053133
1989,-0.526333333,-0.179166667,-6.333333333,9.09,31.79,0.612240617,0.17,0.08407399
1990,0.41675,-0.355833333,-1.166666667,9.930833333,31.4625,-0.201546121,-0.476,0.067741773
1991,0.810166667,-0.419166667,-13.83333333,9.2875,31.11083333,-0.498914711,0.229,0.06313096
1992,1.3145,0.928333333,-21.33333333,9.728333333,30.84583333,-1.09491887,1.221,0.155687796
1993,1.110666667,1.416666667,-23.91666667,9.205833333,30.6825,-1.901992588,0.923,0.178825829
1994,0.755333333,-0.151666667,-17.83333333,9.775,31.2725,-1.211598783,1.037,0.086235342
1995,0.228583333,0.6425,-48.83333333,9.981666667,30.99,-1.039208546,0.579,0.146961538
1996,-0.31075,0.640833333,-14.75,9.52,30.7725,-0.972836612,-0.015,0.14357765
1997,1.58325,1.460833333,-30.58333333,10.045,30.49083333,-0.657690616,-0.52,0.204550244
1998,0.902,0.245833333,-37.83333333,10.45416667,30.83333333,0.544553283,0.285,0.107238793
1999,-0.893166667,-1.063333333,-41.41666667,9.606666667,30.58083333,1.515780517,-0.564,0.022483701
2000,-0.497583333,-0.59,-25,9.6475,30.9425,1.885861292,0.425,0.042857707
2001,-0.116083333,-0.5625,-29.33333333,9.580833333,31.49416667,2.080693375,0.848,0.049019376
2002,0.629083333,0.220833333,-29.16666667,9.586666667,31.1925,1.47359396,0.069,0.099495363
2003,0.488583333,0.969166667,-41.5,9.921666667,31.11,0.958507189,0.731,0.158676514
2004,0.455333333,0.345,-17.58333333,9.895,31.15333333,0.209460249,0.899,0.123143038
2005,0.351833333,0.375,-11.58333333,9.975,31.045,-1.380983404,0.857,0.125971733
2006,0.34325,0.190833333,-8.416666667,9.9025,31.04666667,-0.553980163,-0.73,0.097631525
2007,-0.279666667,-0.195833333,-7.083333333,9.465,30.84666667,0.593350999,0.088,0.073175718
2008,-0.628583333,-1.2925,-1.916666667,9.1975,31.21666667,1.455314878,-0.955,0.067593644
2009,0.419166667,-0.6125,-11.5,9.406666667,31.09416667,0.736744278,-0.066,0.04197175
2010,-0.356166667,-0.3125,-45.91666667,9.689166667,31.08333333,1.369721176,0.547,0.072576551
2011,-0.861,-1.230833333,-13.75,9.279166667,30.82666667,0.857513808,0.053,0.011826682
2012,0.190416667,-1.1,-22.75,9.140833333,30.86833333,1.476851611,0.184,0.019656543
2013,-0.104166667,-0.5175,5.916666667,9.021666667,31.0625,0.344371399,0.103,0.049020432
2014,0.50125,1.130833333,-20.16666667,9.57,30.87333333,-0.249464974,0.539,0.167964277
2015,1.643333333,1.634166667,-9.25,10.1525,30.99166667,-1.395119958,1.836,0.207963458