ID,Data.Set,Atlantic.Silverside,Bay.Anchovy,Dusky.Pipefish,Mummichog,Northern.Pipefish,Silver.Perch,Spot
1,Pres,0,8,2,0,2,73,0
2,Pres,0,7,2,0,2,15,1
3,Pres,1,24,18,0,3,26,0
4,Pres,0,28,20,0,4,47,0
5,Pres,0,0,3,0,1,6,2
6,Pres,0,0,7,0,1,0,0
7,Pres,0,0,9,0,1,1,0
10,Pres,0,44,3,0,2,0,0
11,Pres,0,0,5,0,1,1,0
12,Pres,0,47,9,0,0,0,0
13,Pres,0,31,5,0,1,0,0
14,Pres,0,0,3,0,4,0,0
15,Pres,0,0,8,0,2,0,0
16,Pres,0,0,9,0,2,0,0
17,Pres,0,0,4,0,1,0,0
18,Pres,0,0,1,0,0,0,0
19,Pres,0,0,5,0,0,0,1
20,Pres,0,0,3,0,0,0,0
21,Pres,0,0,2,0,0,0,0
22,Pres,0,0,0,1,0,0,0
23,Pres,0,0,4,0,0,0,1
24,Pres,0,0,11,0,1,0,86
25,Pres,0,0,5,0,5,0,84
26,Pres,0,0,5,0,0,0,54
27,Pres,0,0,0,0,0,0,108
28,Pres,0,0,8,0,1,0,65
29,Pres,1,0,2,0,2,0,123
30,Pres,0,2,6,0,2,0,127
31,Pres,2,2,5,0,6,0,152
32,Pres,0,12,1,0,0,0,108
33,Pres,0,0,5,1,2,0,38
34,Pres,1,0,6,0,1,0,58
35,Pres,0,2,1,0,0,0,87
36,Pres,4,1,5,1,3,0,98
37,Pres,28,0,7,0,6,0,62
38,Pres,10,4,3,0,8,0,53
39,Pres,3,0,2,0,12,0,73
40,Pres,23,1,6,0,15,20,4
41,Pres,3,0,7,0,13,6,7
42,Pres,1,0,5,0,6,6,5
43,Pres,2,0,2,0,6,0,11
44,Pres,12,0,8,0,7,8,0
45,Pres,2,0,11,0,6,12,9
46,Pres,0,0,5,0,4,202,4
47,Pres,0,0,8,0,3,259,38
48,Pres,0,0,2,0,2,11,8
49,Pres,7,0,0,0,1,10,1
50,Pres,0,1,4,0,2,4,1
51,Pres,0,0,3,0,0,2,1
52,Pres,0,0,0,0,0,6,0
53,Pres,0,3,3,0,1,69,0
54,Pres,0,23,0,0,0,10,10
55,Pres,0,2,3,0,5,19,19
56,Pres,0,0,2,0,1,17,1
57,Pres,0,0,2,0,4,52,2
58,Pres,0,3,0,0,0,0,0
59,Pres,0,0,1,0,1,20,7
60,Pres,0,5,1,0,0,10,13
61,Pres,0,17,3,0,0,66,26
62,Pres,0,9,0,0,1,42,20
63,Pres,0,47,0,0,0,20,13
64,Pres,0,3,0,0,1,19,39
65,Pres,0,10,1,0,1,7,26
66,Pres,0,7,0,0,0,9,23
67,Pres,0,9,2,0,1,8,25
68,Pres,0,0,0,0,0,3,15
69,Pres,0,1,0,0,0,6,15
70,Pres,0,10,0,0,1,1,13
71,Pres,0,8,0,0,0,0,2
72,Pres,0,10,0,0,0,0,2
73,Pres,0,5,0,0,1,0,11
74,Pres,0,11,1,0,0,3,6
75,Pres,0,0,0,0,0,0,2
76,Pres,0,2,0,0,0,0,9
77,Pres,0,6,0,0,2,2,3
78,Pres,0,5,1,0,2,2,0
79,Pres,0,0,0,0,0,0,14
80,Pres,0,1,0,0,2,1,0
81,Pres,7,2,0,0,0,0,0
82,Pres,3,27,1,0,3,0,0
83,Pres,2,1,1,0,0,3,0
88,Pres,23,1,0,0,0,1,8
89,Pres,1,0,0,0,1,8,11
90,Pres,6,0,0,0,6,6,7
91,Pres,9,0,0,0,3,2,17
94,Pres,14,0,3,0,12,58,5
95,Pres,0,0,0,0,1,2,8
96,Pres,0,1,0,0,0,0,1
97,Hist,0,1,6,0,26,24,79
98,Hist,0,7,4,0,40,10,50
99,Hist,0,0,0,0,3,0,56
100,Hist,5,0,0,0,16,4,72
101,Hist,0,0,2,0,40,27,19
102,Hist,0,0,0,0,64,22,71
103,Hist,0,0,1,0,9,0,27
104,Hist,0,11,5,0,17,27,26
105,Hist,0,0,0,0,5,31,26
106,Hist,0,0,1,0,9,16,45
107,Hist,2,9,0,0,2,0,0
108,Hist,16,7,2,0,31,0,0
109,Hist,87,3,4,0,70,2,0
110,Hist,0,15,3,0,15,0,0
111,Hist,2,27,3,0,52,1,1
112,Hist,5,11,2,0,9,0,0
113,Hist,0,22,17,0,62,2,0
114,Hist,1,1,29,0,146,16,2
115,Hist,1,53,3,0,14,0,0
116,Hist,2,29,1,0,1,0,0
117,Hist,3,0,1,4,0,0,0
118,Hist,4,0,1,12,1,0,0
119,Hist,1,0,1,0,0,0,0
120,Hist,1,0,0,0,0,0,0
121,Hist,1,0,1,0,0,0,0
129,Hist,0,0,0,0,0,0,98
130,Hist,0,2,0,0,3,0,540
131,Hist,0,0,0,0,16,0,616
132,Hist,0,0,0,12,10,0,34
133,Hist,0,0,0,0,5,0,9
134,Hist,0,0,0,0,24,0,149
135,Hist,19,2,0,0,1,0,187
136,Hist,15,1,0,0,6,0,110
137,Hist,0,1,0,0,14,0,261
138,Hist,0,1,0,0,3,0,38
139,Hist,0,1,0,0,8,0,228
140,Hist,39,0,0,31,45,1,96
141,Hist,17,0,0,9,10,0,59
142,Hist,3,0,0,4,8,2,27
143,Hist,9,1,0,20,118,1,194
144,Hist,7,0,0,11,26,0,106
145,Hist,4,0,0,10,39,1,79
146,Hist,0,0,0,0,1,8,17
147,Hist,0,122,0,0,2,2,20
148,Hist,0,16,0,0,4,0,13
149,Hist,0,0,2,0,3,23,60
150,Hist,0,0,1,0,6,25,30
151,Hist,0,6,0,0,3,27,63
152,Hist,0,25,0,0,1,6,4
153,Hist,0,23,0,0,1,12,6
154,Hist,0,20,0,0,0,1,7
155,Hist,0,37,0,0,0,0,31
156,Hist,0,1,0,0,1,8,23
157,Hist,0,93,0,0,6,94,87
158,Hist,0,4,0,0,1,0,0
159,Hist,0,3,0,0,0,0,0
160,Hist,0,2,1,0,1,0,0
161,Hist,0,7,0,0,5,0,0
162,Hist,0,6,0,0,7,0,0
163,Hist,0,1,0,0,10,0,0
166,Hist,0,0,0,0,1,0,0
169,Hist,0,0,1,0,3,0,0
170,Pres,2,3,24,0,0,45,25
171,Pres,7,3,69,0,0,72,23
172,Pres,6,0,47,0,0,33,29
173,Pres,2,1,23,0,0,74,10
174,Pres,0,3,23,0,0,133,15
175,Pres,1,0,21,0,0,106,17
176,Pres,0,10,31,0,4,45,6
177,Pres,0,0,14,0,14,26,5
178,Pres,0,3,36,0,16,20,3
179,Pres,0,0,35,0,10,28,7
180,Pres,0,61,14,0,2,12,4
181,Pres,0,83,9,0,4,36,2
182,Pres,0,0,5,0,4,115,6
183,Pres,0,12,19,0,6,59,3
184,Pres,0,214,5,0,1,0,10
185,Pres,0,45,6,0,0,15,5
186,Pres,0,148,4,0,1,1,0
187,Pres,0,2,4,0,0,0,3
188,Pres,0,0,2,0,0,0,5
189,Pres,0,0,7,0,2,0,4
190,Pres,0,0,10,0,3,0,1
191,Pres,0,0,7,0,4,0,9
192,Pres,0,0,1,0,0,0,0
193,Pres,0,0,3,0,0,0,0
194,Pres,0,0,3,0,1,0,0
195,Pres,0,0,2,0,1,0,0
197,Pres,0,0,3,0,0,0,0
198,Pres,0,0,2,0,0,0,0
200,Pres,0,0,2,0,0,0,0
201,Pres,0,0,5,0,0,0,0
202,Pres,0,0,22,0,0,0,89
203,Pres,0,0,33,0,0,0,134
204,Pres,0,0,35,0,0,0,129
205,Pres,0,0,18,0,0,0,161
206,Pres,0,0,16,0,0,1,30
207,Pres,0,0,36,2,0,0,190
208,Pres,0,0,50,1,6,0,260
209,Pres,0,0,37,1,15,0,130
210,Pres,0,0,13,10,1,0,85
211,Pres,0,0,11,0,5,0,113
212,Pres,0,1,8,0,0,0,118
213,Pres,0,0,6,13,6,0,154
214,Pres,3,0,15,16,16,0,51
215,Pres,1,0,16,10,0,5,115
216,Pres,1,0,16,9,27,1,177
217,Pres,1,3,3,0,12,3,42
218,Pres,1,1,5,2,62,1,66
219,Pres,0,0,8,0,30,0,47
220,Pres,0,0,3,0,4,0,12
221,Pres,2,0,8,0,26,6,28
222,Pres,1,0,11,0,33,3,14
223,Pres,1,0,13,0,55,14,11
224,Pres,3,0,4,1,20,13,23
225,Pres,3,15,15,0,55,36,25
226,Pres,1,167,11,0,32,60,9
227,Pres,0,3,14,0,54,46,38
228,Pres,6,6,14,0,19,37,8
229,Pres,0,0,8,0,12,195,8
230,Pres,1,3,6,0,2,56,13
231,Pres,0,32,10,0,1,45,4
232,Pres,0,7,10,0,10,70,2
233,Pres,0,0,0,0,0,27,1
234,Pres,0,7,0,0,0,37,4
235,Pres,0,16,0,0,0,29,5
236,Pres,1,5,0,0,0,18,2
237,Pres,0,1,0,0,2,31,4
238,Pres,0,6,1,0,1,97,10
239,Pres,0,114,0,0,2,0,5
240,Pres,0,5,0,0,0,0,4
241,Pres,0,0,0,0,1,13,26
242,Pres,0,25,0,0,0,2,4
243,Pres,0,53,0,0,2,45,9
244,Pres,0,14,0,0,0,2,5
245,Pres,0,10,0,0,0,8,89
246,Pres,0,0,0,0,1,10,34
247,Pres,0,33,0,0,1,15,57
248,Pres,0,7,0,0,1,10,30
249,Pres,0,9,0,0,0,13,32
250,Pres,0,30,0,0,0,0,0
251,Pres,0,161,0,0,0,0,5
252,Pres,0,79,0,0,0,1,10
253,Pres,0,324,0,0,0,3,3
254,Pres,0,23,0,0,0,8,6
255,Pres,0,37,0,0,0,0,9
256,Pres,0,0,0,0,0,0,29
257,Pres,0,1,0,0,0,0,14
258,Pres,0,1,0,0,0,0,20
259,Pres,0,1,0,0,0,0,37
260,Pres,0,0,0,0,0,0,63
261,Pres,0,0,0,0,0,0,68
262,Pres,0,0,0,0,0,0,3
263,Pres,0,0,0,0,0,0,29
264,Pres,0,0,0,0,0,0,9
265,Pres,0,2,0,0,0,0,11
266,Pres,0,54,0,0,0,0,5
267,Pres,0,39,0,0,0,0,25
268,Pres,0,34,0,0,1,0,13
273,Pres,0,0,1,0,1,0,0
274,Pres,0,28,1,0,1,0,1
275,Pres,0,0,0,0,2,0,1
277,Pres,0,1,0,0,2,0,0
278,Pres,0,0,0,0,5,1,8
279,Pres,1,0,0,0,12,3,15
280,Pres,3,1,0,0,1,0,1
281,Pres,0,1,2,0,10,6,8
282,Pres,0,0,0,0,3,1,4
283,Pres,0,0,2,0,2,0,4
284,Pres,0,0,0,0,15,9,12
285,Pres,0,0,0,0,6,13,5
286,Pres,0,6,1,0,2,4,4
287,Pres,0,3,4,0,3,3,20
288,Pres,0,0,1,0,1,0,9
289,Pres,0,4,2,0,4,41,6
290,Pres,0,1,1,0,3,26,14
291,Pres,0,0,2,0,16,51,3
292,Pres,0,2,0,0,7,35,2
293,Pres,0,2,12,0,19,45,6
294,Pres,0,0,2,0,16,124,5
295,Pres,0,76,1,0,1,4,4
296,Pres,0,5,1,0,3,7,0
297,Pres,0,86,1,0,2,24,0
298,Pres,0,2,1,0,5,34,0
299,Pres,0,0,1,0,5,4,0
300,Pres,0,0,2,0,3,29,1
301,Pres,0,2,2,0,7,12,1
302,Pres,0,2,2,0,8,23,1
303,Pres,0,1,0,0,2,0,0
304,Pres,0,48,0,0,2,0,0
305,Pres,0,141,3,0,2,10,0
306,Pres,0,0,0,0,0,3,0
307,Hist,0,0,1,0,18,1,3
308,Hist,0,0,2,0,15,4,18
309,Hist,0,0,2,0,31,36,82
310,Hist,0,7,1,0,34,1,30
311,Hist,2,4,5,0,60,30,67
312,Hist,0,0,0,0,34,47,34
313,Hist,0,0,3,0,26,2,16
314,Hist,1,0,10,0,63,4,12
315,Hist,0,9,7,0,56,20,27
316,Hist,2,0,27,0,98,11,63
317,Hist,0,5,9,0,87,1,11
318,Hist,2,7,8,1,55,4,6
319,Hist,8,7,8,0,10,1,6
320,Hist,1,8,6,3,95,1,2
321,Hist,0,3,5,0,26,0,1
322,Hist,8,14,1,0,43,2,4
323,Hist,15,3,0,1,47,0,2
324,Hist,3,27,6,1,44,1,7
325,Hist,22,9,11,0,73,3,6
326,Hist,7,8,6,0,129,3,2
328,Hist,6,0,0,0,1,0,0
330,Hist,2,0,0,0,0,0,0
331,Hist,0,0,0,1,0,0,0
332,Hist,1,0,0,0,0,0,0
339,Hist,1,1,0,0,8,0,155
340,Hist,1,0,1,0,19,2,82
341,Hist,0,0,0,0,10,0,174
342,Hist,1,2,0,0,2,0,129
343,Hist,0,0,0,0,2,0,54
344,Hist,0,1,0,0,2,0,70
345,Hist,3,7,1,0,43,0,436
346,Hist,0,4,0,0,24,0,257
347,Hist,1,1,0,0,40,1,399
348,Hist,0,0,0,0,41,0,394
349,Hist,2,6,0,0,64,0,409
350,Hist,0,0,0,0,12,0,59
351,Hist,0,0,0,0,10,0,38
352,Hist,4,0,0,0,35,0,153
353,Hist,0,4,0,0,0,0,12
354,Hist,0,101,1,0,11,0,0
355,Hist,0,7,0,0,0,0,122
356,Hist,0,10,0,0,0,0,80
357,Hist,0,95,0,0,1,0,67
358,Hist,0,109,0,0,3,0,5
361,Hist,1,0,0,0,0,0,0
362,Hist,0,0,0,0,0,0,1
364,Hist,1,0,0,0,0,0,0
365,Hist,0,8,0,0,0,0,26
366,Hist,0,2,0,0,0,0,9
367,Hist,0,2,0,0,0,0,23
368,Hist,0,4,0,0,0,0,17
369,Hist,0,4,0,0,0,0,11
370,Hist,0,14,0,0,0,0,0
377,Pres,0,0,79,5,19,3,56
378,Pres,0,7,54,7,14,0,27
379,Pres,0,2,25,0,7,0,35
380,Pres,0,0,25,2,8,1,153
381,Pres,0,0,46,6,6,0,95
382,Pres,0,0,26,0,17,0,10
383,Pres,0,0,11,0,12,2,118
384,Pres,0,1,4,0,6,1,198
385,Pres,0,0,8,0,6,0,172
386,Pres,0,0,30,5,14,2,234
387,Pres,0,0,61,4,20,1,444
388,Pres,0,0,44,2,10,0,236
389,Pres,4,3,94,6,12,2,69
390,Pres,1,1,17,0,19,3,107
391,Pres,0,1,9,0,12,9,79
392,Pres,1,2,16,13,15,2,39
393,Pres,0,0,7,0,17,18,33
394,Pres,3,0,10,0,14,30,30
395,Pres,1,1,5,0,19,13,20
396,Pres,1,0,14,0,5,1,8
397,Pres,0,0,9,1,8,6,8
398,Pres,0,0,6,0,5,25,21
399,Pres,0,4,10,0,9,68,36
400,Pres,0,0,6,1,7,12,12
401,Pres,4,0,9,5,12,23,13
402,Pres,2,0,9,0,3,13,23
403,Pres,0,4,16,0,7,17,10
404,Pres,0,0,4,0,1,4,6
405,Pres,0,1,5,0,4,27,3
406,Pres,0,2,3,0,1,19,4
407,Pres,0,0,1,0,1,40,2
408,Pres,1,0,4,0,1,21,2
409,Pres,0,0,4,0,1,21,7
410,Pres,0,105,0,0,1,1,9
411,Pres,0,72,0,0,2,0,15
412,Pres,0,0,0,0,2,0,2
413,Pres,0,94,1,0,1,3,3
414,Pres,0,1,0,0,0,7,13
415,Pres,0,1,4,0,0,5,21
416,Pres,0,5,1,0,0,1,6
417,Pres,0,0,0,0,0,2,1
418,Pres,0,7,0,0,0,1,8
419,Pres,0,12,1,0,0,0,8
420,Pres,0,4,0,0,0,0,7
421,Pres,0,30,0,0,1,2,7
422,Pres,0,9,0,0,0,0,7
423,Pres,0,4,0,0,1,0,33
424,Pres,0,1,0,0,0,0,3
426,Pres,0,0,0,0,1,0,0
429,Pres,1,0,0,0,11,6,9
430,Pres,1,2,0,0,6,0,25
431,Pres,3,0,0,0,5,3,12
432,Pres,3,0,0,0,1,0,5